ID,Descrição,Pré - condição,Etapas,Resultado esperado,Status
24,Deve ser possivel escolher e alterar em qual unidade da loja fisica da Petz o usuario vai buscar o pedido,Fazer login no site da Petz e ter adicionado algum item a sacola,"Digitar ""05777-001"" no campo de CEP,  selecionar a opção ""Retire na loja"" e escolher a loja para retirar o pedido","A opção ""Retire na loja"" fica destacada e a unidade da loja escolhida aparece no Resumo do pedido",Aprovado
25,"Em caso de retirada do pedido na loja, deve ser informado o endereço do local para a retirada","Fazer login no site da Petz , ter adicionado algum item a sacola e escolhido uma loja para retirar o pedido","Localizar a informção ""Endereço de retirada"" abaixo das opçoes de formas de entrega",É exibido o endereço da loja para o usuario retirar o pedido,Aprovado
26,O resumo do pedido deve ter o numero total de itens da sacola,Fazer login no site da Petz e ter adicionado algum item a sacola,"Localizar o numero total de itens da sacola em ""Resumo do pedido"" ",É exibido a quantidade de produtos da sacola no resumo abaixo do campo de cupom de desconto,Aprovado
27,O resumo do pedido deve ter o prazo de entrega ou de retirada do produto,Fazer login no site da Petz e ter adicionado algum item a sacola,"Localizar o prazo de entrega ou retirada em ""Resumo do pedido"" abaixo do campo de cupom de desconto",É exibido o prazo de entrega ou de disponibilidade no resumo abaixo do campo de cupom de desconto,Aprovado
28,O resumo do pedido deve ter o valor total dos descontos ,Fazer login no site da Petz e ter adicionado algum item a sacola,"Localizar o Total de descontos em ""Resumo do pedido"" abaixo do campo de cupom de desconto",É exibido o valor do desconto no resumo abaixo do campo de cupom de desconto,Aprovado
29,O resumo do pedido deve ter o valor total final do pedido ,Fazer login no site da Petz e ter adicionado algum item a sacola,"Localizar o valor total do pedido em ""Resumo do pedido"" abaixo do campo de cupom de desconto",É exibido o valor total do pedido no resumo abaixo do campo de cupom de desconto,Aprovado
30,Na sacola de compras deve ser possível voltar para a tela inicial,Fazer login no site da Petz e ter adicionado algum item a sacola,"Clicar no botão ""Escolher mais produtos""",Abre a tela inicial para o usuario escolher mais produtos,Aprovado
31,Deve ser informado todas as formas de pagamento na sacola de compras,Fazer login no site da Petz e ter adicionado algum item a sacola,Rolar a tela e localizar as formas de pagamento descritas,Aparece o ícone das bandeiras de todas as formas de pagamento aceitas pela Petz,Aprovado
32,Deve ser informado uma forma de entrar em contato com a central para tirar dúvidas,Fazer login no site da Petz e ter adicionado algum item a sacola,Rolar a tela e localizar um telefone para contato em caso de duvidas com o pedido,Aparece um numero de telefone para tirar as duvidas sobre o pedido,Aprovado
33,"O botão de ""Ir para o pagamento"" deve ficar disponivel ao escolher a forma de entrega",Fazer login no site da Petz e ter adicionado algum item a sacola,"Escolher uma forma de entrega e localizar o botão ""Ir para o pagamento""",O botão fica azul e clicavel ,Aprovado
34,"O usuario deve ser encaminhado para a pagina de pagamento ao clicar no botão ""Ir para o pagamento""",Fazer login no site da Petz e ter adicionado algum item a sacola,"Clicar no botão ""Ir para o pagamento""",Abre a tela de pagamento para finalizar o pedido,Aprovado
